Timestamp,Close,Open,High,Low,Volume
2017-01-01,8.20,8.17,8.59,8.03,144920
2017-01-02,8.37,8.19,8.50,8.11,101270
2017-01-03,9.74,8.43,9.90,8.30,603420
2017-01-04,11.00,9.57,11.10,9.44,556250
2017-01-05,10.15,11.16,11.70,9.20,490640
2017-01-06,10.08,10.23,10.40,9.47,144690
2017-01-07,9.84,10.09,10.19,9.48,107330
2017-01-08,10.28,9.80,10.48,9.80,116550
2017-01-09,10.26,10.43,10.84,9.50,165980
2017-01-10,10.61,10.43,10.75,10.20,96970
2017-01-11,9.79,10.61,10.70,9.41,159090
2017-01-12,9.83,9.48,10.04,9.08,120950
2017-01-13,9.67,9.83,9.83,9.39,39760
2017-01-14,9.67,9.72,9.87,9.51,17440
2017-01-15,9.81,9.67,9.83,9.60,16890
2017-01-16,9.61,9.72,9.78,9.55,16030
2017-01-17,10.12,9.54,10.60,9.53,237840
2017-01-18,10.19,10.30,10.49,9.74,99390
2017-01-19,10.38,10.31,10.51,10.15,50640
2017-01-20,10.62,10.38,10.75,10.30,63550
2017-01-21,10.95,10.64,11.09,10.56,125310
2017-01-22,10.64,10.91,10.98,10.34,140660
2017-01-23,10.77,10.64,10.83,10.59,54390
2017-01-24,10.50,10.58,10.75,10.46,105210
2017-01-25,10.48,10.52,10.58,10.35,26190
2017-01-26,10.63,10.49,10.63,10.43,84720
2017-01-27,10.50,10.52,10.58,10.36,61250
2017-01-28,10.51,10.50,10.54,10.35,102560
2017-01-29,10.46,10.49,10.51,10.38,38280
2017-01-30,10.53,10.44,10.69,10.38,107000
2017-01-31,10.71,10.50,10.74,10.38,250340
2017-02-01,10.71,10.71,10.77,10.41,113790
2017-02-02,10.80,10.71,10.84,10.53,149420
2017-02-03,10.93,10.78,10.93,10.55,102560
2017-02-04,11.32,11.00,11.40,11.00,158070
2017-02-05,11.18,11.32,11.37,11.05,48070
2017-02-06,11.32,11.18,11.33,11.12,69660
2017-02-07,11.41,11.31,11.50,11.25,116310
2017-02-08,11.35,11.45,11.60,11.00,78890
2017-02-09,10.90,11.35,11.51,10.41,205680
2017-02-10,11.30,10.95,11.39,10.75,141080
2017-02-11,11.33,11.27,11.38,11.13,73260
2017-02-12,11.26,11.33,11.40,11.22,35220
2017-02-13,11.35,11.33,11.37,11.05,59340
2017-02-14,12.96,11.32,13.40,11.32,613950
2017-02-15,12.92,13.02,13.15,12.59,302770
2017-02-16,12.92,12.92,12.99,12.57,116460
2017-02-17,12.76,12.92,12.92,12.60,86680
2017-02-18,12.79,12.76,12.90,12.70,67300
2017-02-19,12.80,12.79,12.94,12.70,54510
2017-02-20,12.40,12.80,12.91,12.40,91260
2017-02-21,12.82,12.40,12.89,12.25,174100
2017-02-22,12.68,12.82,12.85,12.60,47570
2017-02-23,13.27,12.68,13.37,12.60,168680
2017-02-24,13.11,13.27,13.31,12.70,145360
2017-02-25,13.55,13.11,13.80,13.05,223070
2017-02-26,14.57,13.55,14.66,13.30,284670
2017-02-27,15.50,14.57,15.75,14.30,469290
2017-02-28,15.86,15.50,16.23,15.18,616600
2017-03-01,17.43,15.86,17.49,15.62,343430
2017-03-02,19.02,17.43,19.45,16.30,903090
2017-03-03,19.49,19.02,20.73,18.43,981000
2017-03-04,18.50,19.49,20.00,18.40,331950
2017-03-05,19.35,18.50,19.45,18.15,226390
2017-03-06,19.51,19.35,20.23,19.14,316910
2017-03-07,18.88,19.51,19.67,18.50,228660
2017-03-08,16.51,18.88,18.88,16.51,562050
2017-03-09,17.75,16.51,18.00,16.25,281600
2017-03-10,19.18,17.75,19.70,16.50,824860
2017-03-11,21.30,19.18,21.45,18.83,661770
2017-03-12,23.20,21.30,23.23,21.05,786850
2017-03-13,28.40,23.20,30.60,23.20,1780000
2017-03-14,28.66,28.40,29.93,27.00,701890
2017-03-15,34.80,28.66,34.80,28.36,1360000
2017-03-16,45.07,34.80,46.21,34.80,3060000
2017-03-17,44.65,45.07,51.88,32.84,3390000
2017-03-18,34.20,44.65,44.99,31.10,2120000
2017-03-19,43.17,34.20,45.69,34.10,1690000
2017-03-20,42.06,43.17,45.13,39.47,875000
2017-03-21,42.45,42.06,43.70,41.15,462960
2017-03-22,41.46,42.45,42.95,38.51,488530
2017-03-23,43.14,41.46,44.75,40.22,523650
2017-03-24,54.01,43.14,58.99,42.50,1640000
2017-03-25,50.75,54.01,54.90,47.46,1150000
2017-03-26,50.46,50.75,51.80,46.55,461990
2017-03-27,48.93,50.46,52.01,47.67,389870
2017-03-28,50.16,48.93,50.60,47.95,453920
2017-03-29,52.88,50.16,54.30,49.40,685320
2017-03-30,51.62,52.88,53.28,50.75,373980
2017-03-31,49.72,51.62,51.83,46.82,784700
2017-04-01,50.59,49.72,51.87,48.70,386430
2017-04-02,48.60,50.59,51.59,47.70,784600
2017-04-03,44.28,48.60,48.60,42.77,1170000
2017-04-04,44.41,44.28,45.69,41.05,762880
2017-04-05,45.35,44.41,47.53,44.19,564400
2017-04-06,43.11,45.35,46.03,41.25,649410
2017-04-07,42.25,43.11,44.53,41.78,277520
2017-04-08,44.51,42.25,45.76,42.25,363840
2017-04-09,43.94,44.51,44.86,43.18,177310
2017-04-10,44.17,43.94,44.76,43.01,218120
2017-04-11,44.21,44.17,44.80,43.80,113370
2017-04-12,46.85,44.21,48.47,43.84,537210
2017-04-13,50.65,46.85,51.51,46.85,520860
2017-04-14,48.50,50.65,50.65,47.34,394470
2017-04-15,49.71,48.50,50.48,47.95,332290
2017-04-16,49.58,49.71,49.90,48.87,64040
2017-04-17,49.52,49.58,50.27,48.88,170640
2017-04-18,52.42,49.52,53.00,49.07,643620
2017-04-19,49.66,52.42,53.00,45.00,460600
2017-04-20,51.96,49.66,52.45,48.60,347610
2017-04-21,51.37,51.96,52.27,51.10,156430
2017-04-22,52.15,51.37,52.78,51.03,125320
2017-04-23,53.33,52.15,54.44,51.75,186860
2017-04-24,53.54,53.33,54.48,53.00,202960
2017-04-25,53.90,53.54,54.21,53.25,97440
2017-04-26,57.31,53.90,58.38,53.66,530340
2017-04-27,68.00,57.31,68.00,56.92,526520
2017-04-28,76.00,68.00,77.40,66.00,959410
2017-04-29,73.55,76.00,77.60,71.20,474760
2017-04-30,83.51,73.55,84.00,72.60,492640
2017-05-01,81.40,83.51,88.10,66.00,1260000
2017-05-02,82.01,81.40,85.18,79.49,361700
2017-05-03,85.79,82.01,86.62,81.00,357120
2017-05-04,99.20,85.79,99.78,84.61,822130
2017-05-05,91.50,99.20,101.70,88.20,718170
2017-05-06,96.65,91.50,96.84,90.53,243520
2017-05-07,94.21,96.65,98.00,90.89,219190
2017-05-08,88.97,94.21,95.48,88.11,349340
2017-05-09,88.94,88.97,91.10,77.76,703650
2017-05-10,88.33,88.94,92.46,86.60,195510
2017-05-11,89.38,88.33,91.50,87.35,210470
2017-05-12,86.99,89.38,92.00,83.85,283230
2017-05-13,89.90,86.99,89.99,84.50,106010
2017-05-14,90.37,89.90,91.92,88.11,173210
2017-05-15,92.56,90.37,95.17,90.37,403460
2017-05-16,88.17,92.56,93.48,85.43,193410
2017-05-17,89.67,88.17,90.93,83.77,174840
2017-05-18,98.60,89.67,98.89,89.42,437250
2017-05-19,124.40,98.60,129.25,98.31,900720
2017-05-20,123.03,124.40,128.95,119.54,429970
2017-05-21,146.14,123.03,146.40,122.32,769980
2017-05-22,154.92,146.14,190.00,136.80,1650000
2017-05-23,168.24,154.92,174.30,148.60,507160
2017-05-24,183.88,168.24,197.41,166.33,645090
2017-05-25,168.71,183.88,206.06,155.00,862960
2017-05-26,152.80,168.71,187.00,143.64,649590
2017-05-27,149.99,152.80,161.00,110.42,1260000
2017-05-28,161.91,149.99,172.79,149.66,643590
2017-05-29,189.99,161.91,191.30,155.01,472380
2017-05-30,224.69,189.99,229.98,182.00,757870
2017-05-31,218.34,224.69,230.55,200.90,584480
2017-06-01,211.40,218.34,227.32,196.00,453560
2017-06-02,214.77,211.40,219.21,208.23,152450
2017-06-03,217.01,214.77,217.99,210.01,96060
2017-06-04,241.06,217.01,245.98,216.10,375990
2017-06-05,242.16,241.06,244.29,231.72,202570
2017-06-06,261.89,242.16,264.99,238.23,412070
2017-06-07,250.70,261.89,263.70,241.01,253510
2017-06-08,256.95,250.70,258.93,242.04,147190
2017-06-09,278.41,256.95,279.90,256.95,271540
2017-06-10,325.88,278.41,341.94,278.26,564750
2017-06-11,336.33,325.88,347.00,310.00,503720
2017-06-12,386.90,336.33,412.21,297.00,1170000
2017-06-13,382.70,386.90,395.00,345.61,442310
2017-06-14,335.95,382.70,385.73,315.00,593560
2017-06-15,338.70,335.95,344.00,265.00,1150000
2017-06-16,348.44,338.70,355.51,305.22,347870
2017-06-17,364.56,348.44,366.08,332.00,219770
2017-06-18,348.88,364.56,377.46,336.89,283220
2017-06-19,355.50,348.88,362.50,344.13,174450
2017-06-20,344.15,355.50,366.52,328.00,342670
2017-06-21,321.66,344.15,348.50,287.11,642800
2017-06-22,320.94,321.66,328.99,305.00,351820
2017-06-23,324.37,320.94,329.90,316.36,105600
2017-06-24,296.89,324.37,327.55,291.53,195470
2017-06-25,277.00,296.89,306.39,253.20,508550
2017-06-26,251.30,277.00,286.85,214.99,1360000
2017-06-27,279.00,251.30,279.00,204.11,1090000
2017-06-28,311.62,279.00,318.27,255.00,910350
2017-06-29,285.30,311.62,318.27,276.00,620080
2017-06-30,275.62,285.30,301.90,267.35,386780
2017-07-01,255.00,275.62,277.63,238.00,716320
2017-07-02,277.64,255.00,285.91,242.81,488520
2017-07-03,273.99,277.64,283.98,266.45,336350
2017-07-04,266.68,273.99,283.00,260.00,425000
2017-07-05,264.77,266.68,272.12,249.53,436760
2017-07-06,265.35,264.77,273.00,258.37,240420
2017-07-07,238.38,265.35,265.80,233.84,496510
2017-07-08,245.23,238.38,246.66,226.68,365160
2017-07-09,234.97,245.23,249.00,234.15,201470
2017-07-10,202.00,234.97,238.01,187.50,1010000
2017-07-11,188.63,202.00,215.00,169.00,1560000
2017-07-12,223.92,188.63,225.00,177.78,1090000
2017-07-13,205.00,223.92,224.99,189.46,842980
2017-07-14,196.49,205.00,207.76,179.58,971730
2017-07-15,170.15,196.49,197.80,169.82,694520
2017-07-16,157.40,170.15,172.70,136.12,2110000
2017-07-17,190.16,157.40,190.61,155.00,1450000
2017-07-18,226.56,190.16,258.00,177.50,2520000
2017-07-19,194.63,226.56,245.61,187.00,2330000
2017-07-20,227.29,194.63,238.00,194.63,2110000
2017-07-21,216.11,227.29,239.00,208.00,853870
2017-07-22,232.01,216.11,237.19,214.35,556210
2017-07-23,228.15,232.01,236.57,219.00,410730
2017-07-24,226.59,228.15,232.56,223.64,355760
2017-07-25,202.70,226.59,227.69,190.49,1080000
2017-07-26,203.33,202.70,209.59,191.76,685640
2017-07-27,202.54,203.33,207.00,197.86,410960
2017-07-28,191.20,202.54,204.19,188.10,493900
2017-07-29,206.76,191.20,213.00,176.95,866050
2017-07-30,195.31,206.76,210.76,192.21,522570
2017-07-31,200.81,195.31,201.50,188.12,444150
2017-08-01,225.97,200.81,232.59,200.80,1230000
2017-08-02,218.00,225.97,229.70,215.00,558150
2017-08-03,224.79,218.00,228.20,217.07,336650
2017-08-04,220.73,224.79,228.30,218.66,292120
2017-08-05,253.87,220.73,259.90,219.23,822050
2017-08-06,264.29,253.87,271.50,251.00,734520
2017-08-07,269.51,264.29,274.60,257.32,511600
2017-08-08,295.83,269.51,299.50,265.00,726470
2017-08-09,293.99,295.83,316.00,277.00,1400000
2017-08-10,295.97,293.99,310.05,287.60,543930
2017-08-11,308.81,295.97,310.42,294.00,455520
2017-08-12,307.22,308.81,319.78,299.00,561910
2017-08-13,296.64,307.22,308.00,285.21,582970
2017-08-14,298.22,296.64,306.48,293.99,371280
2017-08-15,286.00,298.22,299.91,272.29,629180
2017-08-16,301.34,286.00,304.00,279.94,526520
2017-08-17,299.00,301.34,312.00,297.01,465800
2017-08-18,292.00,299.00,307.00,286.00,578060
2017-08-19,292.78,292.00,298.51,280.00,554280
2017-08-20,298.37,292.78,299.00,286.96,304350
2017-08-21,322.24,298.37,346.99,294.53,1150000
2017-08-22,312.54,322.24,329.96,285.01,857280
2017-08-23,316.50,312.54,325.00,311.65,402800
2017-08-24,325.62,316.50,329.56,314.14,326980
2017-08-25,328.70,325.62,338.25,324.04,378010
2017-08-26,332.72,328.70,334.60,324.50,315620
2017-08-27,348.01,332.72,348.01,331.88,362050
2017-08-28,347.09,348.01,352.00,332.74,389240
2017-08-29,372.00,347.09,375.98,346.42,631680
2017-08-30,382.78,372.00,390.10,365.10,660230
2017-08-31,387.30,382.78,390.00,380.10,345070
2017-09-01,390.35,387.30,395.03,383.60,461310
2017-09-02,345.00,390.35,390.77,325.10,1080000
2017-09-03,350.63,345.00,368.40,328.33,742590
2017-09-04,295.81,350.63,351.59,275.00,1990000
2017-09-05,316.18,295.81,323.17,267.64,1340000
2017-09-06,337.36,316.18,339.50,314.81,805380
2017-09-07,334.10,337.36,338.66,321.10,582980
2017-09-08,304.00,334.10,334.58,291.00,1080000
2017-09-09,303.08,304.00,307.08,291.46,594280
2017-09-10,297.90,303.08,305.00,276.11,891440
2017-09-11,297.19,297.90,308.00,287.33,609030
2017-09-12,293.90,297.19,316.73,283.00,915330
2017-09-13,275.48,293.90,294.16,256.00,1570000
2017-09-14,222.50,275.48,281.01,221.71,2250000
2017-09-15,258.68,222.50,269.00,198.00,3340000
2017-09-16,253.00,258.68,270.00,242.20,1080000
2017-09-17,257.00,253.00,263.69,239.00,685700
2017-09-18,296.81,257.00,299.89,257.00,1330000
2017-09-19,282.63,296.81,299.00,275.00,941080
2017-09-20,283.50,282.63,294.00,277.00,512320
2017-09-21,256.67,283.50,287.53,251.52,1030000
2017-09-22,262.19,256.67,269.50,253.03,643200
2017-09-23,285.90,262.19,287.20,259.01,570420
2017-09-24,282.00,285.90,294.54,275.41,687970
2017-09-25,295.20,282.00,297.93,281.80,652310
2017-09-26,289.28,295.20,296.38,285.20,366530
2017-09-27,309.75,289.28,315.51,286.93,748360
2017-09-28,302.63,309.75,310.69,297.75,491020
2017-09-29,292.66,302.63,303.90,280.50,966410
2017-09-30,303.44,292.66,307.76,292.30,459210
2017-10-01,304.26,303.44,305.57,295.00,385330
2017-10-02,296.82,304.26,304.63,292.10,468960
2017-10-03,291.69,296.82,300.50,285.93,452020
2017-10-04,291.40,291.69,296.00,287.56,394450
2017-10-05,295.12,291.40,297.92,285.12,317810
2017-10-06,308.43,295.12,309.59,293.04,373260
2017-10-07,311.46,308.43,315.00,304.50,409620
2017-10-08,309.82,311.46,314.39,307.55,363240
2017-10-09,297.40,309.82,311.16,287.03,630800
2017-10-10,299.32,297.40,307.00,292.57,366240
2017-10-11,303.20,299.32,306.55,296.60,407080
2017-10-12,303.06,303.20,310.01,302.10,649860
2017-10-13,337.46,303.06,350.00,298.00,1340000
2017-10-14,339.24,337.46,348.00,334.05,528580
2017-10-15,337.23,339.24,344.89,315.00,875270
2017-10-16,334.46,337.23,355.00,330.85,945250
2017-10-17,315.65,334.46,334.80,308.00,671490
2017-10-18,313.45,315.65,316.21,287.46,885210
2017-10-19,306.97,313.45,316.50,304.00,413130
2017-10-20,302.61,306.97,313.01,301.04,415810
2017-10-21,299.23,302.61,303.00,289.31,368610
2017-10-22,293.55,299.23,305.62,289.40,334090
2017-10-23,284.85,293.55,293.96,273.50,597470
2017-10-24,296.30,284.85,311.85,280.02,758330
2017-10-25,295.46,296.30,300.00,288.50,329330
2017-10-26,295.10,295.46,299.00,290.55,207770
2017-10-27,295.99,295.10,299.50,291.60,239630
2017-10-28,293.49,295.99,297.01,288.60,245780
2017-10-29,304.39,293.49,312.49,290.50,583180
2017-10-30,307.00,304.39,314.40,303.93,301720
2017-10-31,303.69,307.00,312.00,303.10,285810
2017-11-01,288.60,303.69,305.11,287.04,538440
2017-11-02,284.89,288.60,293.01,275.21,910760
2017-11-03,303.47,284.89,307.36,284.00,760960
2017-11-04,299.48,303.47,304.38,293.00,463880
2017-11-05,295.63,299.48,301.00,292.28,345210
2017-11-06,296.90,295.63,310.00,292.00,557780
2017-11-07,291.42,296.90,304.20,285.01,757800
2017-11-08,307.50,291.42,318.90,290.11,1170000
2017-11-09,319.52,307.50,328.80,305.00,881180
2017-11-10,296.18,319.52,324.03,286.00,1160000
2017-11-11,313.07,296.18,319.88,294.70,604700
2017-11-12,303.90,313.07,316.99,293.33,879410
2017-11-13,313.22,303.90,318.00,302.40,696370
2017-11-14,334.28,313.22,336.69,313.22,854090
2017-11-15,330.59,334.28,339.61,321.50,584660
2017-11-16,330.76,330.59,335.11,321.18,521940
2017-11-17,331.00,331.16,335.01,325.00,530710
2017-11-18,346.68,331.00,350.40,325.32,518810
2017-11-19,354.70,346.68,371.00,343.28,618020
2017-11-20,367.94,354.70,373.70,352.03,519570
2017-11-21,360.00,367.94,373.50,350.00,696990
2017-11-22,380.48,360.00,381.89,358.80,486170
2017-11-23,405.19,380.48,426.27,374.34,925000
2017-11-24,470.51,405.19,478.50,397.37,903700
2017-11-25,464.00,469.89,481.99,454.40,589720
2017-11-26,464.00,464.00,464.00,464.00,#VALUE!
2017-11-27,473.44,464.00,491.89,458.25,671200
2017-11-28,465.56,473.44,479.00,457.20,538340
2017-11-29,420.34,465.56,517.00,403.01,801260
2017-11-30,432.21,420.34,454.95,385.40,785980
2017-12-01,460.67,432.21,467.00,413.96,594100
2017-12-02,455.51,460.67,472.00,447.00,473670
2017-12-03,459.49,455.51,482.69,431.04,482910
2017-12-04,465.00,459.49,471.06,439.27,431180
2017-12-05,451.87,465.00,467.38,444.17,656340
2017-12-06,413.71,451.87,454.23,403.00,1290000
2017-12-07,415.02,413.71,429.00,390.00,1130000
2017-12-08,442.19,415.02,453.61,400.34,1120000
2017-12-09,460.92,442.19,487.80,441.00,1130000
2017-12-10,429.24,460.92,460.92,413.30,875790
2017-12-11,515.25,429.24,531.20,429.14,784740
2017-12-12,634.87,515.25,646.92,497.75,1490000
2017-12-13,690.69,634.87,742.00,573.00,2400000
2017-12-14,686.51,690.69,760.00,651.00,1730000
2017-12-15,678.29,686.51,698.31,610.00,1260000
2017-12-16,683.25,678.29,711.96,672.51,703290
2017-12-17,708.78,683.25,725.00,683.24,737160
2017-12-18,783.99,708.78,798.90,660.00,1470000
2017-12-19,799.98,783.99,863.00,750.01,1810000
2017-12-20,794.99,799.98,826.20,709.00,1480000
2017-12-21,786.97,794.99,848.08,747.10,1200000
2017-12-22,628.19,786.97,792.00,492.01,2730000
2017-12-23,672.59,628.19,717.00,616.19,842430
2017-12-24,659.89,672.59,675.00,560.00,1090000
2017-12-25,709.81,659.89,737.00,651.76,764730
2017-12-26,749.80,709.81,749.80,708.83,521740
2017-12-27,736.45,749.80,766.06,703.27,587330
2017-12-28,711.42,736.45,740.30,652.00,893820
2017-12-29,731.52,711.42,755.00,703.02,716870
2017-12-30,682.22,731.52,737.56,640.43,936940
2017-12-31,736.77,682.22,741.99,675.56,536840
2018-01-01,752.46,736.77,762.00,717.94,425460
2018-01-02,858.78,752.46,890.00,752.46,1470000
2018-01-03,942.01,858.78,954.73,840.00,1090000
2018-01-04,940.00,942.01,997.00,893.24,1220000
2018-01-05,962.77,939.30,1023.60,930.00,1040000
2018-01-06,1004.30,962.77,1014.20,951.38,447260
2018-01-07,1115.80,1004.30,1116.00,999.50,699390
2018-01-08,1129.30,1115.90,1225.00,968.12,1540000
2018-01-09,1283.70,1129.40,1299.00,1119.10,1040000
2018-01-10,1248.00,1285.70,1381.90,1203.20,1330000
2018-01-11,1135.50,1245.90,1331.80,1102.50,1260000
2018-01-12,1257.20,1135.10,1285.00,1083.40,732330
2018-01-13,1380.00,1257.00,1423.20,1252.60,709740
2018-01-14,1350.00,1379.90,1385.00,1256.00,618610
2018-01-15,1273.40,1349.90,1377.90,1264.40,481870
2018-01-16,1020.10,1275.80,1278.80,868.98,2350000
2018-01-17,1017.50,1019.60,1088.30,770.10,2400000
2018-01-18,994.81,1020.10,1079.00,940.00,1310000
2018-01-19,1032.60,993.92,1079.00,960.10,612190
2018-01-20,1146.00,1032.60,1160.00,1029.60,573520
2018-01-21,1047.00,1146.30,1146.30,1001.50,691690
2018-01-22,995.08,1047.00,1084.10,912.76,835880
2018-01-23,982.98,995.26,1022.00,905.38,798280
2018-01-24,1063.20,982.11,1068.80,952.04,606140
2018-01-25,1048.20,1061.80,1102.40,1025.10,567300
2018-01-26,1047.00,1048.20,1078.60,983.00,485470
2018-01-27,1114.80,1046.90,1125.30,1031.60,370170
2018-01-28,1246.60,1114.70,1264.80,1109.00,662740
2018-01-29,1175.00,1245.50,1259.80,1155.90,488440
2018-01-30,1071.90,1174.36,1178.92,1042.90,1420000
2018-01-31,1118.08,1072.17,1126.87,1028.03,990740
2018-02-01,1033.55,1118.15,1157.09,970.42,1760000
2018-02-02,920.85,1033.02,1036.17,766.82,3030000
2018-02-03,971.49,920.93,997.51,850.38,1070000
2018-02-04,829.43,971.49,972.66,788.79,1340000
2018-02-05,696.86,828.49,859.72,634.64,2990000
2018-02-06,783.83,696.75,797.94,568.78,4290000
2018-02-07,753.18,782.72,852.98,719.34,1980000
2018-02-08,805.40,752.75,831.02,751.76,1250000
2018-02-09,877.85,805.15,879.51,781.97,923810
2018-02-10,851.39,877.88,908.26,816.72,1050000
2018-02-11,810.45,851.44,854.10,778.90,988450
2018-02-12,865.62,811.01,875.52,810.99,837420
2018-02-13,841.38,865.72,868.92,822.98,733530
2018-02-14,919.67,841.38,922.38,840.82,993860
2018-02-15,927.56,919.53,945.99,902.56,952230
2018-02-16,937.50,927.34,945.68,907.33,662760
2018-02-17,971.54,937.35,972.86,934.49,648320
2018-02-18,913.10,971.57,980.27,903.28,869060
2018-02-19,940.08,913.09,954.94,910.29,552220
2018-02-20,884.51,940.04,959.41,877.65,788970
2018-02-21,839.10,884.94,906.43,818.48,1010000
2018-02-22,803.66,838.97,878.14,789.92,849820
2018-02-23,856.65,803.56,882.61,787.95,868360
2018-02-24,834.36,854.99,874.49,810.91,669620
2018-02-25,840.88,834.10,849.36,818.46,507820
2018-02-26,866.99,841.28,879.18,835.34,619750
2018-02-27,871.44,867.06,894.78,861.40,569300
2018-02-28,852.49,871.58,888.06,850.84,550740
2018-03-01,870.04,852.44,879.53,848.41,514500
2018-03-02,856.09,870.51,875.69,850.47,463750
2018-03-03,855.91,855.46,868.51,853.45,407540
2018-03-04,865.53,855.91,867.35,838.06,444490
2018-03-05,850.24,865.53,870.27,850.24,466380
2018-03-06,814.88,850.00,851.72,803.90,578560
2018-03-07,749.98,814.56,824.83,724.98,945380
2018-03-08,698.96,750.09,772.23,689.41,850150
2018-03-09,725.89,698.91,728.83,644.46,1130000
2018-03-10,682.52,725.70,746.13,678.46,673800
2018-03-11,720.12,682.77,733.33,664.53,690940
2018-03-12,697.04,720.12,739.25,678.27,664590
2018-03-13,689.57,697.06,713.80,680.01,558730
2018-03-14,612.09,689.67,702.53,587.10,990480
2018-03-15,610.13,612.08,620.01,572.69,991890
2018-03-16,600.79,610.36,625.34,585.84,695580
2018-03-17,550.27,600.48,609.48,544.51,777540
2018-03-18,536.72,549.96,559.19,454.90,2560000
2018-03-19,556.16,536.72,558.33,516.31,1460000
2018-03-20,557.08,555.75,566.63,517.02,1160000
2018-03-21,560.24,557.09,589.83,545.87,1010000
2018-03-22,539.87,559.90,577.63,517.81,887950
2018-03-23,543.42,539.90,543.51,508.36,871890
2018-03-24,520.45,543.15,545.15,520.05,554620
2018-03-25,523.50,520.44,535.11,513.05,495850
2018-03-26,485.98,523.46,526.22,467.46,1150000
2018-03-27,448.48,485.97,491.77,446.70,1310000
2018-03-28,446.84,448.73,465.09,440.84,918120
2018-03-29,384.12,446.86,449.33,380.85,2010000
2018-03-30,393.79,384.13,411.17,366.12,1960000
2018-03-31,393.96,393.75,419.07,390.09,1210000
2018-04-01,378.75,394.10,399.46,359.49,1240000
2018-04-02,385.07,378.85,393.94,375.67,824810
2018-04-03,415.55,385.02,418.78,380.89,1060000
2018-04-04,378.68,415.58,416.38,371.35,1120000
2018-04-05,381.52,378.62,386.91,367.21,903270
2018-04-06,369.97,381.69,385.70,363.83,700800
2018-04-07,384.87,369.97,394.66,369.41,600400
2018-04-08,400.71,384.85,403.71,384.85,569260
2018-04-09,399.05,400.67,430.85,388.05,1300000
2018-04-10,415.45,399.04,417.84,391.81,709220
2018-04-11,430.14,415.43,433.25,412.35,827170
2018-04-12,494.03,430.13,498.13,414.07,1860000
2018-04-13,493.48,494.25,528.71,482.19,1670000
2018-04-14,502.52,494.36,514.14,486.89,924640
2018-04-15,533.90,502.52,534.18,502.52,988290
2018-04-16,511.82,533.89,537.32,498.87,1030000
2018-04-17,503.19,511.75,520.86,501.73,826710
2018-04-18,525.66,503.24,526.41,502.02,759150
2018-04-19,567.49,525.74,570.15,522.15,1040000
2018-04-20,617.04,567.70,620.58,558.27,1420000
2018-04-21,605.59,617.10,623.86,574.73,1230000
